name,exact_english_wikipedia_article_title,category,region,era
"The Last Supper","The Last Supper (Leonardo)","painting","Europe","Renaissance"
"The Creation of Adam","The Creation of Adam","painting","Europe","Renaissance"
"The Birth of Venus","The Birth of Venus","painting","Europe","Renaissance"
"The School of Athens","The School of Athens","painting","Europe","Renaissance"
"The Arnolfini Portrait","Arnolfini Portrait","painting","Europe","Renaissance"
"The Garden of Earthly Delights","The Garden of Earthly Delights","painting","Europe","Renaissance"
"Girl with a Pearl Earring","Girl with a Pearl Earring","painting","Europe","Early modern"
"The Night Watch","The Night Watch","painting","Europe","Early modern"
"Las Meninas","Las Meninas","painting","Europe","Early modern"
"The Third of May 1808","The Third of May 1808","painting","Europe","19th century"
"Liberty Leading the People","Liberty Leading the People","painting","Europe","19th century"
"Whistler's Mother","Whistler's Mother","painting","North America and Europe","19th century"
"American Gothic","American Gothic","painting","North America","20th century"
"Nighthawks","Nighthawks (Hopper)","painting","North America","20th century"
"The Scream","The Scream","painting","Europe","19th century"
"The Persistence of Memory","The Persistence of Memory","painting","Europe","20th century"
"Guernica","Guernica (Picasso)","painting","Europe","20th century"
"The Starry Night","The Starry Night","painting","Europe","19th century"
"Sunflowers","Sunflowers (Van Gogh series)","painting series","Europe","19th century"
"The Great Wave off Kanagawa","The Great Wave off Kanagawa","print","East Asia","19th century"
"The Son of Man","The Son of Man","painting","Europe","20th century"
"The Kiss","The Kiss (Klimt)","painting","Europe","20th century"
"A Sunday Afternoon on the Island of La Grande Jatte","A Sunday Afternoon on the Island of La Grande Jatte","painting","Europe","19th century"
"Wanderer above the Sea of Fog","Wanderer above the Sea of Fog","painting","Europe","19th century"
"Campbell's Soup Cans","Campbell's Soup Cans","painting","North America","20th century"
"Marilyn Diptych","Marilyn Diptych","painting","North America","20th century"
"The Dance","Dance (Matisse)","painting","Europe","20th century"
"Cloud Gate","Cloud Gate","sculpture","North America","21st century"
"The Motherland Calls","The Motherland Calls","sculpture","Europe and North Asia","20th century"
"Buddhas of Bamiyan","Buddhas of Bamiyan","sculpture","South and Central Asia","Medieval"
"RMS Titanic","Titanic","ship","Europe and North America","20th century"
"Hindenburg","LZ 129 Hindenburg","airship","Europe","20th century"
"Wright Flyer","Wright Flyer","aircraft","North America","20th century"
"Spirit of St. Louis","Spirit of St. Louis","aircraft","North America","20th century"
"Apollo Lunar Module Eagle","Lunar Module Eagle","spacecraft","North America","20th century"
"Saturn V","Saturn V","rocket","North America","20th century"
"Space Shuttle","Space Shuttle","spacecraft","North America","20th–21st centuries"
"Concorde","Concorde","aircraft","Europe","20th century"
"Boeing 747","Boeing 747","aircraft","North America","20th–21st centuries"
"Volkswagen Beetle","Volkswagen Beetle","vehicle","Europe","20th–21st centuries"
"Ford Model T","Ford Model T","vehicle","North America","20th century"
"Routemaster bus","AEC Routemaster","vehicle","Europe","20th century"
"Stephenson's Rocket","Stephenson's Rocket","locomotive","Europe","19th century"
"Flying Scotsman","LNER Class A3 4472 Flying Scotsman","locomotive","Europe","20th century"
"HMS Victory","HMS Victory","ship","Europe","18th century"
"USS Constitution","USS Constitution","ship","North America","18th century"
"Enola Gay","Enola Gay","aircraft","North America","20th century"
"Vasa","Vasa (ship)","ship","Europe","Early modern"
"Little Boy","Little Boy","weapon","North America","20th century"
"Apple Macintosh","Macintosh 128K","computer","North America","20th century"
"Cray-1","Cray-1","computer","North America","20th century"
"Voyager Golden Record","Voyager Golden Record","artefact","North America and space","20th century"
